,Temps,Deviation,Cost,Taux,Trouve
ILS-s3-i2-a2-be-bi-bs,6.05562e+06,4.25919,68685,82.8571,70
ILS-s3-i2-a2-fe-fi-fs,6.03388e+06,0.746244,65498.8,84.6774,62
ILS-s3-i2-a4-be-bi-bs,1.20872e+07,3.84203,137259,73.8806,67
ILS-s3-i2-a4-fe-fi-fs,1.20531e+07,4.35855,79594.5,83.3333,57
ILS-s3-i4-a2-be-bi-bs,6.06056e+06,3.94162,100703,81.7568,74
ILS-s3-i4-a2-fe-fi-fs,6.03686e+06,0.394599,75789.3,79.661,59
ILS-s3-i4-a4-be-bi-bs,1.21076e+07,3.41421,200218,82.1429,56
ILS-s3-i4-a4-fe-fi-fs,1.20586e+07,1.84923,81040.1,86,50
