,Temps,Deviation,Cost,Taux,Trouve
ILS-s10-i2-a2-be-bs-bi,2.00653e+07,5.69876,169859,100,56
ILS-s10-i2-a2-fe-fs-fi,2.00355e+07,5.06675,141993,100,38
