,Temps,Deviation,Cost,Taux,Trouve
ILS-s30-i5fe-fi-fs,3.00075e+07,0.461468,126433,100,56
ILS-s30-i5fe-fi-fs-bs-bi-be,3.00096e+07,3.01543,143898,100,44
