,Temps,Deviation,Cost,Taux,Trouve
vnd-edd-alea-1,41105.6,0.745195,15075.2,49.5263,95
vnd-mdd-alea-1,34594.6,0.566821,14651,52.809,89
vnd-rnd-alea-1,52367.1,34.0595,22000.5,44.382,89
