,Temps,Deviation,Cost,Taux,Trouve
GA-s10-g10000-m100-i1,881938,0.318647,1.09298e+06,75.4717,53
GA-s10-g10000-m50-i1,605164,0.503929,592928,74.5455,55
GA-s10-g10000-m50-i2,619673,0.827107,592924,78.2609,46
GA-s10-g20000-m50-i1,1.20941e+06,0.426197,1.1859e+06,69.0909,55
GA-s50-g10000-m50-i1,1.57276e+06,0.963592,862206,81.6667,40
