,Temps,Deviation,Cost,Taux,Trouve
ILS-s3-i2-a2-be-bs-bi,6.06703e+06,4.78917,185636,100,56
ILS-s3-i2-a2-fe-fs-fi,6.03446e+06,2.67666,131832,100,45
ILS-s3-i2-a4-be-bs-bi,1.21053e+07,5.20732,329887,100,50
ILS-s3-i2-a4-fe-fs-fi,1.20553e+07,1.45805,181599,100,43
ILS-s3-i4-a2-be-bs-bi,6.07338e+06,4.99656,249847,100,50
ILS-s3-i4-a2-fe-fs-fi,6.03873e+06,3.28209,159675,100,39
ILS-s3-i4-a4-be-bs-bi,1.21234e+07,6.2244,409828,100,43
ILS-s3-i4-a4-fe-fs-fi,1.20606e+07,2.06949,196155,100,38
