,Temps,Deviation,Cost,Taux,Trouve
GA-s10-g1000-m300-i1,223948,1.27438,309301,74.0741,45
GA-s10-g1000-m50-i1,68108.4,1.46362,59304.3,78.8618,41
GA-s10-g1000-m50-i4,73417.4,1.50952,59306.4,84.6154,39
GA-s10-g10000-m50-i1,677130,1.34519,592934,77.5194,43
GA-s100-g1000-m50-i1,298199,1.57737,116520,86.1111,36
