,Temps,Deviation,Cost,Taux,Trouve
ILS-s6-i2-a2-be-bs-bi,1.20689e+07,5.014,188415,100,48
ILS-s6-i2-a2-fe-fs-fi,1.20353e+07,1.32776,141454,100,47
ILS-s6-i2-a4-be-bs-bi,2.41038e+07,5.95203,321394,100,49
ILS-s6-i2-a4-fe-fs-fi,2.40565e+07,0.640535,183959,100,44
ILS-s6-i4-a2-be-bs-bi,1.20759e+07,4.97528,252024,100,46
ILS-s6-i4-a2-fe-fs-fi,1.20364e+07,0.724404,160610,100,43
ILS-s6-i4-a4-be-bs-bi,2.41235e+07,6.06855,411389,100,47
ILS-s6-i4-a4-fe-fs-fi,2.40596e+07,6.04543,193375,100,38
