,Temps,Deviation,Cost,Taux,Trouve
ILS-insert-edd-s30-i5-be-bi-bs,3.00061e+07,0.178926,91021.4,100,61
vnd-edd-be-bi-bs,66490.9,0.201847,13495.2,92.3333,60
ILS-swap-edd-s30-i5-be-bi-bs,3.00073e+07,2.65784,115300,100,60
vnd-edd-be-bi-bs,66490.9,0.201847,13495.2,92.3333,60
ILS-insert-mdd-s30-i5-fe-fi-fs,3.00068e+07,0.453762,109721,100,55
vnd-mdd-fe-fi-fs,21171.2,0.508612,5240.68,44.4248,113
ILS-swap-mdd-s30-i5-fe-fi-fs,3.00072e+07,0.802746,123557,100,52
vnd-mdd-fe-fi-fs,21171.2,0.508612,5240.68,44.4248,113
